Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L3,MWN 1910,Mus musculus,female,a,131+,36+,18,13,31,"2R 3L, 15mm",,,,,MWN,
L3,MWN 1911,Mus musculus,male,a,146+,61+,18,13,18,,83,14,,,MWN,
L3,MWN 1912,Mus musculus,female,a,152+,62+,18,13,20,PAR,,,,,MWN,
L3,MWN 1913,Mus musculus,male,a,140+,63+,17,12,15,,39,1,,,MWN,
L3,MWN 1914,Mus musculus,female,a,128+,47+,17,12,15,NULL,,,,,MWN,
L3,MWN 1915,Mus musculus,male,a,156+,67+,18,13,23,,90,44,,,MWN,
L3,MWN 1916,Mus musculus,female,a,150+,58+,18,13,30,"3R 2L, 22 mm",,,,,MWN,
L3,MWN 1917,Mus musculus,male,a,140+,55+,18,13,20,,83,36,,,MWN,
L3,MWN 1918,Mus musculus,female,a,164+,68+,18,13,22,PAR,,,,,MWN,
L3,MWN 1919,Mus musculus,male,a,135+,57+,17,12,15,,56,5,,,MWN,
L3,MWN 1920,Mus musculus,female,a,90,0,17,13,21,"1R 1L, 13 mm",,,,No tail,MWN,
L3,MWN 1921,Mus musculus,male,a,131+,51+,17,12,15,,54,10,,,MWN,
L3,MWN 1922,Mus musculus,female,a,130+,47+,17,13,20,"2R 1L, 23 mm",,,,,MWN,
L3,MWN 1923,Mus musculus,male,a,134+,57+,17,13,16,,61,22,,,MWN,
L3,MWN 1924,Mus musculus,female,a,120+,31+,17,13,22,"0R 5L, 14 mm",,,,,MWN,
L3,MWN 1925,Mus musculus,male,a,109+,23+,18,13,17,,69,50,,,MWN,
L3,MWN 1926,Mus musculus,female,a,148+,66+,17,13,16,NULL,,,,,MWN,
L3,MWN 1927,Mus musculus,male,a,138+,53+,18,13,20,,69,55,,,MWN,
L3,MWN 1928,Mus musculus,female,a,150+,63+,17,13,17,"3R 2L, 8 mm",,,,,MWN,
L3,MWN 1929,Mus musculus,male,a,116+,40+,17,13,17,,68,56,,,MWN,
L3,MWN 1930,Mus musculus,female,a,132+,35+,17,13,23,"2R 5L, 7 mm",,,,,MWN,
L3,MWN 1931,Mus musculus,male,a,128+,46+,17,12,17,,68,35,,,MWN,
L3,MWN 1932,Mus musculus,female,a,119+,32+,17,13,19,NULL,,,,,MWN,
L3,MWN 1933,Mus musculus,male,a,136+,50+,18,13,18,,84,37,,,MWN,
L4,MWN 1934,Mus musculus,female,a,155+,66+,19,13,19,PAR,,,,,MWN,
L3,MWN 1935,Mus musculus,male,a,152+,63+,18,13,18,,57,36,,,MWN,
L4,MWN 1936,Mus musculus,female,a,146+,62+,17,13,21,"4R 1L, 17 mm",,,,,MWN,
L3,MWN 1937,Mus musculus,male,a,150+,59+,18,13,22,,80,57,+,,MWN,
L4,MWN 1938,Mus musculus,female,a,124+,32+,17,13,23,PAR,,,,,MWN,
L3,MWN 1939,Mus musculus,male,a,140+,55+,19,13,18,,76,45,,,MWN,
L4,MWN 1940,Mus musculus,female,a,132+,49+,17,13,18,PAR,,,,,MWN,
L3,MWN 1941,Mus musculus,male,a,114+,29+,17,12,18,,77,53,,,MWN,
L4,MWN 1942,Mus musculus,female,a,128+,45+,17,13,13,NULL,,,,Mandibular abscess.  Immobile hind legs,MWN,
L3,MWN 1943,Mus musculus,male,a,148+,64+,18,13,20,,56,28,,,MWN,
L4,MWN 1944,Mus musculus,female,a,178,84,18,13,21,PAR,,,,Original founder #296,MWN,
L3,MWN 1945,Mus musculus,male,a,137+,58+,17,13,17,,81,54,,,MWN,
L4,MWN 1946,Mus musculus,female,a,126+,41+,18,13,21,"1R 4L, 13 mm",,,,,MWN,
L3,MWN 1947,Mus musculus,male,a,127+,46+,17,13,19,,57,44,,,MWN,
L4,MWN 1948,Mus musculus,female,a,150+,61+,17,12,21,"2R 3L, 2 mm",,,,,MWN,
L3,MWN 1949,Mus musculus,male,a,130+,51+,17,13,16,,87,34,,,MWN,
L4,MWN 1950,Mus musculus,female,a,135+,54+,18,13,21,"1R 1L, 22 mm",,,,,MWN,
L3,MWN 1951,Mus musculus,male,a,129+,46+,17,12,20,,71,54,,,MWN,
L4,MWN 1952,Mus musculus,female,a,140+,54+,17,13,18,"4R 0L, 15 mm",,,,,MWN,
L3,MWN 1953,Mus musculus,male,sa,125+,51+,17,12,14,,48,1,,,MWN,
L4,MWN 1954,Mus musculus,female,a,121+,40+,17,12,16,PAR,,,,,MWN,
L3,MWN 1955,Mus musculus,male,a,135+,38+,17,12,15,,69,30,,,MWN,
L4,MWN 1956,Mus musculus,female,a,124+,42+,17,13,19,PAR,,,,,MWN,
L3,MWN 1957,Mus musculus,male,a,135+,51+,17,13,17,,78,11,,,MWN,
L3,MWN 1958,Mus musculus,female,a,140+,49+,17,13,27,"3R 3L, 22 mm",,,,,MWN,
L3,MWN 1959,Mus musculus,male,sa,125+,47+,16,13,13,,51,1,,,MWN,
L3,MWN 1960 ,Mus musculus,female,a,139+,61+,17,12,13,NULL,,,,,MWN,
L3,MWN 1961,Mus musculus,male,a,124+,51+,17,13,13,,66,30,,,MWN,
L4,MWN 1962,Mus musculus,female,a,145+,55+,17,12,27,"2R 3L, 14 mm",,,,,MWN,
L3,MWN 1963,Mus musculus,male,sa,113+,45+,17,12,13,,61,7,,,MWN,
L4,MWN 1964,Mus musculus,female,a,135+,53+,17,13,18,PAR,,,,,MWN,
L3,MWN 1965,Mus musculus,male,sa,121+,48+,17,13,12,,49,12,,,MWN,
L4,MWN 1966,Mus musculus,female,a,146+,61+,17,12,21,"1R 2L, 17 mm",,,,,MWN,
L3,MWN 1967,Mus musculus,male,sa,106+,33+,17,12,10,,35,1,,,MWN,
L4,MWN 1968,Mus musculus,female,a,160+,68+,18,13,24,PAR,,,,,MWN,
L3,MWN 1969,Mus musculus,male,a,129+,55+,17,12,12,,48,14,,,MWN,
L4,MWN 1970,Mus musculus,female,a,149+,62+,17,13,18,"1R 6L, 3 mm",,,,,MWN,
L4,MWN 1971,Mus musculus,male,a,115+,30+,18,13,21,,82,52,,,MWN,
L4,MWN 1972,Mus musculus,female,a,125+,37+,17,13,20,PAR,,,,,MWN,
L4,MWN 1973,Mus musculus,male,a,152+,60+,17,12,24,,85,80,,,MWN,
L4,MWN 1974,Mus musculus,female,a,123+,33+,17,13,21,PAR,,,,,MWN,
L4,MWN 1975,Mus musculus,male,a,131+,50+,18,13,18,,75,17,,,MWN,
L4,MWN 1976,Mus musculus,female,sa,136+,57+,17,12,13,NULL,,,,,MWN,
L4,MWN 1977,Mus musculus,male,a,158+,70+,17,13,19,,77,40,,,MWN,
L4,MWN 1978,Mus musculus,female,a,136+,45+,16,13,21,"4R 3L, 11 mm",,,,light belly,MWN,
L4,MWN 1979,Mus musculus,male,a,140+,54+,18,13,25,,110,46,,,MWN,
L4,MWN 1980,Mus musculus,female,a,167+,71+,18,13,25,NULL,,,,,MWN,
L4,MWN 1981,Mus musculus,male,a,156+,68+,18,13,20,,95,55,,,MWN,
L4,MWN 1982,Mus musculus,female,a,160+,64+,17,13,26,"4R 3L, 3 mm",,,,,MWN,
L4,MWN 1983,Mus musculus,male,a,151+,62+,17,13,22,,77,72,,,MWN,
L4,MWN 1984,Mus musculus,female,a,157+,62+,17,13,25,PAR,,,,,MWN,
L4,MWN 1985,Mus musculus,male,a,146+,62+,17,13,17,,80,19,,,MWN,
L4,MWN 1986,Mus musculus,female,a,145+,55+,17,13,22,PAR,,,,,MWN,
L4,MWN 1987,Mus musculus,male,a,113+,36+,17,12,14,,68,15,,,MWN,
L4,MWN 1988,Mus musculus,female,a,160+,68+,18,13,28,"2R 6L, 20 mm",,,,,MWN,
L4,MWN 1989,Mus musculus,male,a,129+,38+,18,11,19,,72,58,,,DNM,
L4,MWN 1990,Mus musculus,female,a,127+,40+,18,13,20,PAR,,,,,MWN,
L4,MWN 1991,Mus musculus,male,a,148+,61+,17,13,20,,74,22,,,DNM,
L4,MWN 1992,Mus musculus,female,a,154+,69+,17,13,20,"0R 4L, 8 mm",,,,light belly,MWN,
L4,MWN 1993,Mus musculus,male,a,130+,50+,18,12,17,,81,43,,,DNM,
L4,MWN 1994,Mus musculus,female,a,157+,63+,17,12,24,PAR,,,,,MWN,
L4,MWN 1995,Mus musculus,male,sa,128+,49+,18,12,15,,34,1,,,DNM,
L4,MWN 1996,Mus musculus,female,a,142+,50+,17,12,21,"1R 3L, 8 mm",,,,,MWN,
L4,MWN 1997,Mus musculus,male,a,120+,36+,18,12,16,,67,33,,,DNM,
L4,MWN 1998,Mus musculus,female,a,126+,43+,17,13,16,"2R 3L, 2 mm",,,,,MWN,
L4,MWN 1999,Mus musculus,male,a,130+,41+,17,14,18,,47,24,,,DNM,
L4,MWN 2000,Mus musculus,female,a,131+,55+,17,13,15,NULL,,,,,MWN,
L4,MWN 2001,Mus musculus,male,a,142+,61+,17,13,16,,47,17,,,DNM,
L4,MWN 2002,Mus musculus,female,a,125+,43+,17,13,16,NULL,,,,,MWN,
L4,MWN 2003,Mus musculus,female,a,140+,48+,17,12,23,"4R 4L, 7 mm",,,,,DNM,
L4,MWN 2004,Mus musculus,female,a,159,78,17,12,15,PAR,,,,WSB,DNM,
